ServerName,ServerInstance,Description,Environment
PHKTBPNW12SQL1,PHKTBPNW12SQL1\SHR01P,SQL Production,Production
PHKTBPNW12SQL2,PHKTBPNW12SQL2,SQL Sharepoint,Production
PHKTBPNW19SQLP1,PHKTBPNW19SQLP1\G01P,SQL Production 2019,Production
PHKTBPNW19SQLP1,PHKTBPNW19SQLP1\G02P,SSRS and PBIRS Development Database,Production
PHKTBPNVMSQL1,PHKTBPNVMSQL1,SQL vCenter,Production
PHKTBPNW12SQLD1,PHKTBPNW12SQLD1\SHR01D,General SQL Server Development,Development
PHKTBPNW12SQLD1,PHKTBPNW12SQLD1\SHR02D,OutSystem LifeTime,Development
PHKTBPNW19SQLD1,PHKTBPNW19SQLD1\S01D,OutSystem QA,Development
PHKTBPNW19SQLD2,PHKTBPNW19SQLD2\G01D,General SQL Server Development, Development
PHKTBPNW19SQLD2,PHKTBPNW19SQLD2\G02D,SSRS and PBIRS Development Database, Development
